Local;Votos;Latitude;Longitude
MIGUEL LAMPERT- COL. ESTADUAL;10;-29.8826;-51.17573
NANCY FERREIRA PANSERA - E. M. E. F. PROF.;2;-29.8882;-51.13408
O ACADÊMICO - EDU.CO;1;-29.92453;-51.17573
PADRE JAEGER - E.E. ENS. FUND.;0;-29.90571;-51.17582
PENITENCIÁRIA ESTADUAL DE CANOAS - PECAN I;0;-29.89943;-51.12605
PERNAMBUCO - ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL;11;-29.94957;-51.15865
PLANALTO CANOENSE - E. E.ENS.FUND.;7;-29.92126;-51.12182
PROTASIO DIOGO DE JESUS - ESCOLA ESTADUAL DE ENS. FUNDAMENTAL;0;-29.93191;-51.17409
RONDÔNIA - E.M. DE ENS. FUND.;2;-29.92589;-51.1467
SALAO PAROQUIAL SAO PIO X;0;-29.90305;-51.18383
SALÃO PAROQUIAL NOSSA SENHORA DE FÁTIMA;5;-29.94393;-51.18072
SALÃO PAROQUIAL SÃO CRISTÓVÃO;0;-29.89732;-51.17349
SALÃO PAROQUIAL SÃO LUÍS GONZAGA;1;-29.91839;-51.18393
SANTOS DUMONT - ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL;84;-29.96158;-51.16955
SAO JOSE - ESCOLA DE ENSINO FUNDAMENTAL;5;-29.96436;-51.17222
SETE DE SETEMBRO -E.M.E.F.;3;-29.90671;-51.13125
THEODORO BOGEN - ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL;6;-29.94105;-51.16548
VASCO DA GAMA - E.E. ENS.FUND.;3;-29.88582;-51.17343
VICENTE FREIRE - E.E. ENS.FUND. CEL.;0;-29.9004;-51.16979
WALTER PERACCHI DE BARCELOS - E. M.E.F. GOV.;1;-29.92394;-51.13056
ÉRICO VERÍSSIMO-E.E.ENS.MED.;8;-29.90457;-51.16373
