Local;Votos;Latitude;Longitude
E. E. JOSE DO PATROCINIO - CENTRO;310;-30.87627;-52.25357
E. E. POMPILIO XAVIER - FOLES;32;-30.7096;-52.42381
E. M. JUREMA CARVALHO DE OLIVEIRA - COXILHA DE AMARAL FERRADOR;169;-30.83283;-52.32382
E. M. SANTA IZABEL - MORRO AGUDO;21;-30.83701;-52.30111
ESCOLA MUNICIPAL COLONIA SANTO ANTONIO;68;-30.88925;-52.1584
